id,name,lat,lon,satellite_view mapbox,dominant_orchidee_pft,orchidee_frac,dominant_generic_pft,generic_pft_frac,confidence_flag,quality_flag_obs_model,soil_type,remarques,sources,dataset,year_fluxnet2007,year_fluxnet2015,year_plumber2,year_sifmip2,year_warmwinter2020,igbp (from orchidas site list),years_amf_base,,,years_amf_fluxnet
ES-Agu,Aguamarga,36.940000,-2.033200,N/A,PFT10,"PFT1(0.10), PFT10(0.75), PFT5(0.15)",NatGrC3,"NatGrC3(0.75), TrBrEv(0.15), BS(0.10)",B,B3,N/A,PFT14 car KG arid_warm / google map / publi / frac_300m,http://www.europe-fluxdata.eu/home/site-details?id=ES-Agu & https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2015JG003091,warmwinter2020,N/A,N/A,N/A,N/A,2006-2020,N/A,,,,
ES-Cnd,Conde,37.915000,-3.227700,N/A,PFT05,"PFT1(0.10), PFT10(0.20), PFT5(0.70)",TrBrEv,"TrBrEv(0.70), NatGrC3(0.20), BS(0.10)",B,C4,N/A,Google Maps / oliviers (papiers),http://www.europe-fluxdata.eu/home/site-details?id=ES-Cnd & https://www.sciencedirect.com/science/article/pii/S0034425722004308 & https://uu.diva-portal.org/smash/get/diva2:1579426/FULLTEXT01.pdf,warmwinter2020,N/A,N/A,N/A,N/A,2014-2020,N/A,,,,
ES-ES1,El Saler,39.346000,-0.318800,N/A,PFT04,"PFT4(0.85),PFT6(0.05),PFT10(0.1)",TrNeEv,"TrNeEv(0.85), NatGrC3(0.10), TrBrDe(0.05)",B,A3,N/A,ENF,https://www.europe-fluxdata.eu/home/site-details?id=ES-ES1,fluxnet2007,1999-2006,N/A,1999-2006,N/A,N/A,ENF,,,,
ES-ES2,El Saler-Sueca,39.275500,-0.315200,N/A,PFT12,PFT12(1.00),CropsC3,CropsC3(1.00),A,B4,N/A,CRO,https://www.europe-fluxdata.eu/home/site-details?id=ES-ES2,fluxnet2007,2004-2006,N/A,2005-2006,N/A,N/A,CRO,,,,
ES-LgS,Laguna Seca,37.097900,-2.965800,N/A,PFT10,"PFT5(0.3), PFT10(0.4), PFT1(0.3)",NatGrC3,"NatGrC3(0.40), BS(0.30), ShBrEv(0.30)",B,A3,N/A,OSH,https://fluxnet.org/sites/siteinfo/ES-LgS,fluxnet2015,N/A,2007-2009,2007-2007,N/A,N/A,OSH,,,,
ES-LJu,Llano de los Juanes,36.926600,-2.752100,N/A,PFT10,"PFT6(0.10), PFT10(0.90)",NatGrC3,"NatGrC3(0.90), TrBrDe(0.10)",B,B4,N/A,"PFT10 car KG temp_warm / google maps & frac_300m
voir avec les 2 sites au-dessus si PFT14 ou PFT10",https://fluxnet.org/sites/siteinfo/ES-LJu & https://meta.icos-cp.eu/resources/stations/FLUXNET_ES-LJu,warmwinter2020,N/A,N/A,N/A,N/A,2004-2020,N/A,,,,
ES-LM1,Majadas del Tietar North,39.942700,-5.778700,N/A,PFT10,"PFT5(0.30), PFT10(0.70)",NatGrC3,"NatGrC3(0.70), TrBrEv(0.30)",B,A2,N/A,infos site (chene vert) & google map,https://egusphere.copernicus.org/preprints/2023/egusphere-2023-994/egusphere-2023-994.pdf & https://www.bgc-jena.mpg.de/en/servicegroups/fieldexperiements/locations/majadas& https://meta.icos-cp.eu/resources/stations/FLUXNET_ES-LM1 & http://www.europe-fluxdata.eu/home/site-details?id=ES-LM1,warmwinter2020,N/A,N/A,N/A,N/A,2014-2020,N/A,,,,
ES-LM2,Majadas del Tietar North,39.934600,-5.775900,N/A,PFT10,"PFT5(0.30), PFT10(0.70)",NatGrC3,"NatGrC3(0.70), TrBrEv(0.30)",B,A2,N/A,N/A,https://egusphere.copernicus.org/preprints/2023/egusphere-2023-994/egusphere-2023-994.pdf & http://www.europe-fluxdata.eu/home/site-details?id=ES-LM2,warmwinter2020,N/A,N/A,N/A,N/A,2014-2020,N/A,,,,
ES-LMa,Las Majadas del Tietar,39.941500,-5.773400,N/A,PFT10,"PFT1(0.1),PFT5(0.4),PFT10(0.5)",NatGrC3,"NatGrC3(0.50), TrBrEv(0.40), BS(0.10)",B,A2,N/A,"holm oak (Quercus Ilex) savanna with a tree density of ca. 20-25 trees per hectare, a canopy cover fraction of about 20%. The understory vegetation is dominated by annual herbaceous species (as Vulpia bromoides (L.) SF Grey; Vulpia geniculata (L.) Link; Trifolium subterraneum (L.), Ornithopus compressus (L.))",https://meta.icos-cp.eu/resources/stations/ES_ES-LMa https://www.europe-fluxdata.eu/home/site-details?id=ES-Lma,fluxnet2007,2004-2006,N/A,2004-2006,N/A,N/A,SAV,,,,
ES-Ln2,Lanjaron-Salvage logging,36.969500,-3.475800,N/A,PFT10,"PFT5(0.3), PFT10(0.4), PFT1(0.3)",NatGrC3,"NatGrC3(0.40), BS(0.30), TrBrEv(0.30)",B,C4,N/A,N/A,https://fluxnet.org/sites/siteinfo/ES-Ln2,fluxnet2015,N/A,2009-2009,N/A,N/A,N/A,OSH,,,,
ES-VDA,Vall d'Alinya,42.152200,1.448500,N/A,PFT10,"PFT10(0.6), PFT4(0.2), PFT1(0.2)",NatGrC3,"NatGrC3(0.60), BS(0.20), TrNeEv(0.20)",A,A3,N/A,GRA,https://www.europe-fluxdata.eu/home/site-details?id=ES-VDA,fluxnet2007,2004-2006,N/A,2004-2004,N/A,N/A,GRA,,,,
FI-Hyy,Hyytiala,61.847400,24.294800,N/A,PFT07,"PFT7(0.90), PFT15(0.10)",TrNeEv,"TrNeEv(0.90), NatGrC3(0.10)",A,A2,N/A,N/A,N/A,"fluxnet2007, fluxnet2015, warmwinter2020",1996-2006,1996-2014,1996-2014,N/A,1996-2019,ENF,,,,
FI-Jok,Jokioinen,60.898600,23.513400,N/A,PFT12,PFT12(1.00),CropsC3,CropsC3(1.00),C,B4,N/A,N/A,https://www.europe-fluxdata.eu/home/site-details?id=FI-Jok,fluxnet2015,N/A,2000-2003,N/A,N/A,N/A,CRO,,,,
FI-Kaa,Kaamanen wetland,69.140700,27.295000,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,eviter : Wetland,https://www.europe-fluxdata.eu/home/site-details?id=FI-Kaa,fluxnet2007,2000-2006,N/A,2000-2002,N/A,N/A,WET,,,,
FI-Ken,Kenttarova,67.987200,24.243100,N/A,PFT07,"PFT7(0.85), PFT15(0.15)",TrNeEv,"TrNeEv(0.85), NatGrC3(0.15)",A,A3,N/A,N/A,https://meta.icos-cp.eu/resources/stations/ES_FI-Ken,warmwinter2020,N/A,N/A,N/A,N/A,2018-2019,N/A,,,,
FI-Let,Lettosuo,60.641800,23.959500,N/A,PFT04,"PFT4(0.70), PFT6(0.15), PFT15(0.15)",TrNeEv,"TrNeEv(0.70), NatGrC3(0.15), TrBrDe(0.15)",N/A,,N/A,"à éviter peatland forest > à éviter
voir https://doi.org/10.1016/j.agrformet.2023.109361 / voir infos site > aussi PFT6 ?",https://meta.icos-cp.eu/resources/stations/ES_FI-Let & https://doi.org/10.5194/bg-11-347-2014 & https://doi.org/10.1016/j.agrformet.2023.109361 & https://fluxnet.org/sites/siteinfo/FI-Let & https://egusphere.copernicus.org/preprints/2023/egusphere-2023-994/egusphere-2023-994.pdf & http://www.europe-fluxdata.eu/home/site-details?id=ES-LM1,warmwinter2020,N/A,N/A,N/A,N/A,2009-2020,N/A,,,,
FI-Lom,Lompolojankka,67.997200,24.209200,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,eviter : Wetland,https://www.europe-fluxdata.eu/home/site-details?id=FI-Lom,fluxnet2015,N/A,2007-2009,2007-2009,N/A,N/A,WET,,,,
FI-Qvd,Qvidja,60.295200,22.391600,N/A,PFT12,"PFT12(0.80), PFT4(0.20)",CropsC3,"CropsC3(0.80), TrNeEv(0.20)",A,B2,N/A,google map & frac_300m,http://www.europe-fluxdata.eu/home/site-details?id=FI-Qvd,warmwinter2020,N/A,N/A,N/A,N/A,2018-2020,N/A,,,,
FI-Sii,Siikaneva,61.832700,24.192900,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,à éviter : wetland,https://meta.icos-cp.eu/resources/stations/ES_FI-Sii & https://www.icos-cp.eu/sites/default/files/cmis/FI-Sii%20ICOS%20Ecosystem%20Station%20Labelling%20Report.pdf & https://fluxnet.org/sites/siteinfo/FI-Sii,warmwinter2020,N/A,N/A,N/A,N/A,2016-2019,N/A,,,,
FI-Sod,Sodankyla,67.362400,26.638600,N/A,PFT07,"PFT7(0.7), PFT15(0.3)",TrNeEv,"TrNeEv(0.70), NatGrC3(0.30)",A,A3,N/A,N/A,https://www.europe-fluxdata.eu/home/site-details?id=FI-Sod,"fluxnet2007, fluxnet2015",2000-2006,2001-2014,2008-2014,N/A,N/A,ENF,,,,
FI-Var,Varrio,67.754900,29.610000,N/A,PFT07,"PFT7(0.80), PFT15(0.20)",TrNeEv,"TrNeEv(0.80), NatGrC3(0.20)",A,A4,N/A,google map & frac_300m,https://meta.icos-cp.eu/resources/stations/ES_FI-Var & https://egusphere.copernicus.org/preprints/2023/egusphere-2023-994/egusphere-2023-994.pdf,warmwinter2020,N/A,N/A,N/A,N/A,2016-2020,N/A,,,,
FR-Aur,Aurade,43.549700,1.106100,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,eviter ? rotation cultures,https://meta.icos-cp.eu/resources/stations/ES_FR-Aur,warmwinter2020,N/A,N/A,N/A,N/A,2005-2020,N/A,,,,
FR-Bil,Bilos,44.493700,-0.956080,N/A,PFT04,"PFT4(0.90), PFT10(0.10)",TrNeEv,"TrNeEv(0.90), NatGrC3(0.10)",B,A1,N/A,infos site & google map,https://meta.icos-cp.eu/resources/stations/ES_FR-Bil,warmwinter2020,N/A,N/A,N/A,N/A,2014-2020,N/A,,,,
FR-FBn,Font-Blanche,43.240800,5.679200,N/A,PFT04,"PFT4(0.60), PFT5(0.40)",TrNeEv,"TrNeEv(0.60), TrBrEv(0.40)",A,A2,N/A,infos site & google map,https://meta.icos-cp.eu/resources/stations/ES_FR-FBn & https://www.inrae.fr/actualites/foret-melangee-font-blanche-observatoire-faire-avancer-connaissances-fonctionnement-forets-mediterraneennes,warmwinter2020,N/A,N/A,N/A,N/A,2008-2019,N/A,,,,
FR-Fon,Fontainebleau-Barbeau,48.476400,2.780100,N/A,PFT06,"PFT6(0.90), PFT10(0.10)",TrBrDe,"TrBrDe(0.90), NatGrC3(0.10)",A,A2,N/A,N/A,https://meta.icos-cp.eu/resources/stations/ES_FR-Fon & https://fluxnet.org/sites/siteinfo/FR-Fon & https://egusphere.copernicus.org/preprints/2023/egusphere-2023-994/egusphere-2023-994.pdf,"fluxnet2007, fluxnet2015, warmwinter2020",2005-2006,2005-2014,2005-2013,N/A,2005-2020,DBF,,,,
FR-Gri,Grignon,48.844200,1.951900,N/A,PFT12,PFT12(1.00),CropsC3,CropsC3(1.00),A,A3,N/A,N/A,N/A,"fluxnet2007, fluxnet2015, warmwinter2020",2005-2006,2004-2013,2005-2013,N/A,2004-2020,CRO,,,,
FR-Hes,Hesse Forest- Sarrebourg,48.674200,7.064600,N/A,PFT06,"PFT6(0.90), PFT10(0.10)",TrBrDe,"TrBrDe(0.90), NatGrC3(0.10)",A,A1,N/A,N/A,https://meta.icos-cp.eu/resources/stations/ES_FR-Hes & https://egusphere.copernicus.org/preprints/2023/egusphere-2023-994/egusphere-2023-994.pdf,"fluxnet2007, warmwinter2020",1997-2006,N/A,1997-2006,N/A,2014-2020,DBF,,,,
FR-Lam,Lamasquere,43.496500,1.237800,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,à éviter : rotation C3 et C4,https://meta.icos-cp.eu/resources/stations/ES_FR-Lam,warmwinter2020,N/A,N/A,N/A,N/A,2005-2019,N/A,,,,
FR-LBr,Le Bray,44.717100,-0.769300,N/A,PFT04,"PFT4(0.85),PFT5(0.05),PFT10(0.1)",TrNeEv,"TrNeEv(0.85), NatGrC3(0.10), TrBrEv(0.05)",A,A3,N/A,ENF,https://fluxnet.org/sites/siteinfo/FR-LBr,"fluxnet2007, fluxnet2015",1996-2006,1996-2008,2003-2008,N/A,N/A,ENF,,,,
FR-LGt,La Guette,47.322900,2.284100,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,à éviter : wetland,https://meta.icos-cp.eu/resources/stations/ES_FR-LGt & https://fluxnet.org/sites/siteinfo/FR-LGt,warmwinter2020,N/A,N/A,N/A,N/A,2017-2019,N/A,,,,
FR-Lq1,Laqueuille,45.644100,2.737000,N/A,PFT10,PFT10(1.00),NatGrC3,NatGrC3(1.00),A,A3,N/A,GRA,https://www.europe-fluxdata.eu/home/site-details?id=FR-Lq1,fluxnet2007,2004-2006,N/A,2004-2006,N/A,N/A,GRA,,,,
FR-Lq2,Laqueuille extensive,45.639200,2.737000,N/A,PFT10,"PFT10(0.65), PFT6(0.35)",NatGrC3,"NatGrC3(0.65), TrBrDe(0.35)",B,A3,N/A,GRA,https://www.europe-fluxdata.eu/home/site-details?id=FR-Lq2,fluxnet2007,2004-2006,N/A,2004-2006,N/A,N/A,GRA,,,,
FR-Pue,Puechabon,43.741300,3.595700,N/A,PFT05,"PFT5(0.9), PFT10(0.10)",TrBrEv,"TrBrEv(0.90), NatGrC3(0.10)",B,A2,N/A,EBF,https://meta.icos-cp.eu/resources/stations/ES_FR-Pue https://fluxnet.org/sites/siteinfo/FR-Pue,"fluxnet2007, fluxnet2015",2000-2006,2000-2014,2000-2014,N/A,N/A,EBF,,,,
FR-Tou,Toulouse,43.572900,1.374700,N/A,PFT13,PFT13(1.00),CropsC4,CropsC4(1.00),B,A3,N/A,infos site,https://meta.icos-cp.eu/resources/stations/ES_FR-Tou,warmwinter2020,N/A,N/A,N/A,N/A,2018-2019,N/A,,,,
GF-Guy,Guyaflux (French Guiana),5.278800,-52.924900,N/A,PFT02,PFT2(1.00),TrBrEv,TrBrEv(1.00),A,C4,N/A,EBF,N/A,"fluxnet2015, warmwinter2020",N/A,2004-2014,2004-2014,N/A,2004-2019,EBF,,,,
HU-Bug,Bugacpuszta,46.691100,19.601300,N/A,PFT10,PFT10(1.00),NatGrC3,NatGrC3(1.00),A,B2,N/A,GRA,https://www.europe-fluxdata.eu/home/site-details?id=HU-Bug,fluxnet2007,2002-2006,N/A,2003-2006,N/A,N/A,GRA,,,,
HU-Mat,Matra,47.846900,19.726000,N/A,PFT10,PFT10(1),NatGrC3,NatGrC3(1.00),B,A2,N/A,GRA,https://www.europe-fluxdata.eu/home/site-details?id=HU-Mat,fluxnet2007,2004-2006,N/A,N/A,N/A,N/A,GRA,,,,
ID-Pag,Palangkaraya undrained forest,-2.320000,113.900000,N/A,PFT02,PFT2(1.00),TrBrEv,TrBrEv(1.00),A,A4,N/A,N/A,https://asiaflux.net/index.php?page_id=91 (Palangkaraya Drained Forest),fluxnet2007,2002-2003,N/A,2002-2003,N/A,N/A,EBF,,,,
IE-Ca1,Carlow1,52.858800,-6.918100,N/A,PFT12,PFT12(1.00),CropsC3,CropsC3(1.00),A,A3,N/A,CRO,https://www.europe-fluxdata.eu/home/site-details?id=IE-Ca1,fluxnet2007,2004-2006,N/A,2004-2006,N/A,N/A,CRO,,,,
IE-Cra,Clara Raised Bog,53.323000,-7.641800,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,à éviter : wetland,http://www.europe-fluxdata.eu/home/site-details?id=IE-Cra,warmwinter2020,N/A,N/A,N/A,N/A,2020-2020,N/A,,,,
IE-Dri,Dripsey,51.986700,-8.751800,N/A,PFT10,PFT10(1.00),NatGrC3,NatGrC3(1.00),A,A3,N/A,GRA,https://www.europe-fluxdata.eu/home/site-details?id=IE-Dri,fluxnet2007,2003-2005,N/A,2003-2005,N/A,N/A,GRA,,,,
IL-Yat,Yatir,31.345000,35.051500,N/A,PFT04,"PFT4(0.60), PFT10(0.30), PFT1(0.10)",TrNeEv,"TrNeEv(0.60), NatGrC3(0.30), BS(0.10)",B,A3,N/A,infos site - pin Alep,https://www.weizmann.ac.il/EPS/Yakir/research-activities/field-research/yatir-forest-location-and-background & https://phenocam.nau.edu/webcam/sites/yatir/ - https://www.sciencedirect.com/science/article/abs/pii/S0168192323001077,"fluxnet2007, warmwinter2020",2001-2006,N/A,N/A,N/A,2000-2020,ENF,,,,
IS-Gun,Gunnarsholt,63.833300,-20.216700,N/A,PFT01,"PFT1(0.80), PFT10(0.20)",BS,"BS(0.80), NatGrC3(0.20)",N/A,,N/A,ancien PFT6 ?? eviter,https://www.europe-fluxdata.eu/home/site-details?id=Is-gun,fluxnet2007,1996-1998,N/A,N/A,N/A,N/A,DBF,,,,
IT-Amp,Amplero,41.904100,13.605200,N/A,PFT10,PFT10(1),NatGrC3,NatGrC3(1.00),B,A3,N/A,GRA,https://www.europe-fluxdata.eu/home/site-details?id=IT-Amp,fluxnet2007,2002-2006,N/A,2003-2006,N/A,N/A,GRA,,,,
IT-BCi,Borgo Cioffi,40.523700,14.957400,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,éviter rotation culture,https://meta.icos-cp.eu/resources/stations/ES_IT-BCi & https://fluxnet.org/sites/siteinfo/IT-BCi,"fluxnet2007, fluxnet2015, warmwinter2020",2004-2006,2004-2014,2005-2010,N/A,2004-2020,CRO,,,,
IT-BFt,Bosco Fontana,45.197800,10.742000,N/A,PFT06,"PFT6(0.85), PFT10(0.15)",TrBrDe,"TrBrDe(0.85), NatGrC3(0.15)",A,A3,N/A,frac_300m et infos sites,https://meta.icos-cp.eu/resources/stations/ES_IT-BFt,warmwinter2020,N/A,N/A,N/A,N/A,2019-2020,N/A,,,,
IT-CA1,Castel d'Asso1,42.380400,12.026600,N/A,PFT06,"PFT6(0.8),PFT10(0.1)",TrBrDe,"TrBrDe(0.80), NatGrC3(0.10)",N/A,,N/A,eviter : DBF / Short rotation forestry of poplar for biomass production,https://fluxnet.org/sites/siteinfo/IT-CA1,fluxnet2015,N/A,2011-2014,2012-2013,N/A,N/A,DBF,,,,
IT-CA2,Castel d'Asso2,42.377200,12.026000,N/A,PFT12,"PFT12(0.90), PFT13(0.10)",CropsC3,"CropsC3(0.90), CropsC4(0.10)",A,B3,N/A,CRO,https://fluxnet.org/sites/siteinfo/IT-CA2,fluxnet2015,N/A,2011-2014,2012-2013,N/A,N/A,CRO,,,,
IT-CA3,Castel d'Asso3,42.380000,12.022200,N/A,PFT06,"PFT6(0.8),PFT10(0.1)",TrBrDe,"TrBrDe(0.80), NatGrC3(0.10)",N/A,,N/A,eviter : DBF / Short rotation forestry of poplar for biomass production ,https://fluxnet.org/sites/siteinfo/IT-CA3,fluxnet2015,N/A,2011-2014,2012-2013,N/A,N/A,DBF,,,,
IT-Cas,Castellaro,45.070000,8.717500,N/A,PFT12,PFT12(1.00),CropsC3,CropsC3(1.00),N/A,,N/A,CRO / eviter : rice paddy cultivation,https://fluxnet.org/sites/siteinfo/IT-Cas / https://fluxnet.org/doi/FLUXNET-CH4/IT-Cas,fluxnet2007,2006-2006,N/A,N/A,N/A,N/A,CRO,,,,
IT-Col,Collelongo,41.849400,13.588100,N/A,PFT06,"PFT6(0.90), PFT10(0.10)",TrBrDe,"TrBrDe(0.90), NatGrC3(0.10)",A,B2,N/A,DBF / Irregularly structured beech forest.,https://fluxnet.org/sites/siteinfo/IT-Col,"fluxnet2007, fluxnet2015",1996-2006,1996-2014,2007-2014,N/A,N/A,DBF,,,,
IT-Cp2,Castelporziano2,41.704300,12.357300,N/A,PFT05,"PFT5(0.85), PFT10(0.15)",TrBrEv,"TrBrEv(0.85), NatGrC3(0.15)",B,B3,N/A,infos sites - chêne vert,https://meta.icos-cp.eu/resources/stations/ES_IT-Cp2 & https://fluxnet.org/sites/siteinfo/IT-Cp2,"fluxnet2015, warmwinter2020",N/A,2012-2014,N/A,N/A,2012-2019,EBF,,,,
IT-Cpz,Castelporziano,41.705200,12.376100,N/A,PFT05,"PFT5(0.90), PFT10(0.10)",TrBrEv,"TrBrEv(0.90), NatGrC3(0.10)",B,B3,N/A,"EBF/ Natural origin, Mediterranean",https://fluxnet.org/sites/siteinfo/IT-Cpz,"fluxnet2007, fluxnet2015",1997-2006,1997-2009,2001-2008,N/A,N/A,EBF,,,,
IT-Isp,Ispra ABC-IS,45.812600,8.633600,N/A,PFT06,"PFT6(0.80), PFT10(0.20)",TrBrDe,"TrBrDe(0.80), NatGrC3(0.20)",A,A2,N/A,N/A,https://fluxnet.org/sites/siteinfo/IT-Isp,fluxnet2015,N/A,2013-2014,2013-2014,N/A,N/A,DBF,,,,
IT-La2,Lavarone2,45.954200,11.285300,N/A,PFT04,"PFT4(0.8), PFT10(0.20)",TrNeEv,"TrNeEv(0.80), NatGrC3(0.20)",B,C3,N/A,ENF,https://fluxnet.org/sites/siteinfo/IT-La2,fluxnet2015,N/A,2000-2002,N/A,N/A,N/A,ENF,,,,
IT-Lav,Lavarone,45.956200,11.281300,N/A,PFT04,"PFT4(0.80), PFT10(0.20)",TrNeEv,"TrNeEv(0.80), NatGrC3(0.20)",A,A3,N/A,N/A,https://fluxnet.org/sites/siteinfo/IT-Lav,"fluxnet2007, fluxnet2015, warmwinter2020",2000-2006,2003-2014,2005-2014,N/A,2003-2019,ENF,,,,
IT-Lec,Lecceto,43.304600,11.270600,N/A,PFT05,"PFT5(0.90), PFT10(0.10)",TrBrEv,"TrBrEv(0.90), NatGrC3(0.10)",B,N/A,N/A,EBF,https://www.europe-fluxdata.eu/home/site-details?id=IT-Lec,fluxnet2007,2005-2006,N/A,N/A,N/A,N/A,EBF,,,,
IT-LMa,La Mandria,45.15258,7.58259,N/A,PFT06,"PFT6(0.9), PFT15(0.1)",TrBrDe,"TrBrDe(0.90), NatGrC3(0.10)",B,B3,N/A,DBF (mauvaises coord sur orchidas site list),https://www.europe-fluxdata.eu/home/site-details?id=IT-Lma,fluxnet2007,2003-2006,N/A,2003-2004,N/A,N/A,GRA,,,,
IT-Lsn,Lison,45.740500,12.750300,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,à éviter - vigne,https://meta.icos-cp.eu/resources/stations/ES_IT-Lsn,warmwinter2020,N/A,N/A,N/A,N/A,2016-2020,N/A,,,,
IT-Mal,Malga Arpaco,46.11402,11.70334,N/A,PFT15,"PFT15(0.90), PFT7(0.10)",NatGrC3,"NatGrC3(0.90), TrNeEv(0.10)",C,C2,N/A,GRA / need new hr image bc of wrong coordinates,https://www.europe-fluxdata.eu/home/site-details?id=IT-mal,fluxnet2007,2003-2006,N/A,2003-2003,N/A,N/A,GRA,,,,
IT-MBo,Monte Bondone,46.014700,11.045800,N/A,PFT15,"PFT7(0.05), PFT8(0.05), PFT15(0.90)",NatGrC3,"NatGrC3(0.90), TrBrDe(0.05), TrNeEv(0.05)",B,A3,N/A,N/A,https://meta.icos-cp.eu/resources/stations/ES_IT-MBo & https://fluxnet.org/sites/siteinfo/IT-MBo,"fluxnet2007, fluxnet2015, warmwinter2020",2003-2006,2003-2013,2003-2012,N/A,2003-2019,GRA,,,,
IT-Noe,Arca di Noe - Le Prigionette,40.606200,8.151700,N/A,PFT04,"PFT4(0.45), PFT10(0.45), PFT1(0.1)",NatGrC3,"NatGrC3(0.45), ShNeEv(0.45), BS(0.10)",B,A2,N/A,CSH / Undisturbed mediterranean maquis site,https://fluxnet.org/sites/siteinfo/IT-Noe,fluxnet2015,N/A,2004-2014,2004-2014,N/A,N/A,CSH,,,,
IT-Non,Nonantola,44.689800,11.088700,N/A,PFT06,"PFT6(0.9),PFT10(0.1)",TrBrDe,"TrBrDe(0.90), NatGrC3(0.10)",A,C2,N/A,MF,https://www.europe-fluxdata.eu/home/site-details?id=IT-Non,fluxnet2007,2001-2006,N/A,2002-2002,N/A,N/A,DBF,,,,
IT-Pia,Island of Pianosa,42.583900,10.078400,N/A,PFT10,"PFT10(0.9), PFT6(0.1)",NatGrC3,"NatGrC3(0.90), ShBrDe(0.10)",C,A3,N/A,OSH,https://www.europe-fluxdata.eu/home/site-details?id=IT-Pia,fluxnet2007,2002-2005,N/A,N/A,N/A,N/A,OSH,,,,
IT-PT1,Parco Ticino forest,45.200900,9.061000,N/A,PFT06,"PFT6(0.7), PFT10(0.3)",TrBrDe,"TrBrDe(0.70), NatGrC3(0.30)",B,A2,N/A,DBF / The site was established in spring 2001 and runs in continuous mode from March 2002. Poplar plantation,https://fluxnet.org/sites/siteinfo/IT-PT1,"fluxnet2007, fluxnet2015",2002-2004,2002-2004,2003-2004,N/A,N/A,DBF,,,,
IT-Ren,Renon,46.586900,11.433700,N/A,PFT07,"PFT7(0.90), PFT15(0.10)",TrNeEv,"TrNeEv(0.90), NatGrC3(0.10)",A,A2,N/A,N/A,https://meta.icos-cp.eu/resources/stations/ES_IT-Ren & https://fluxnet.org/sites/siteinfo/IT-Ren,"fluxnet2007, fluxnet2015, warmwinter2020",1999-2006,1998-2013,2010-2013,N/A,1999-2020,ENF,,,,
IT-Ro1,Roccarespampani 1,42.408100,11.930000,N/A,PFT06,"PFT6(0.85), PFT10(0.15)",TrBrDe,"TrBrDe(0.85), NatGrC3(0.15)",A,,N/A,Turkey oak (Quercus Cerris L.) coppice forest,https://fluxnet.org/sites/siteinfo/IT-ro1,"fluxnet2007, fluxnet2015",2000-2006,2000-2008,2002-2006,N/A,N/A,DBF,,,,
IT-Ro2,Roccarespampani 2,42.390300,11.920900,N/A,PFT06,"PFT6(0.90), PFT10(0.10)",TrBrDe,"TrBrDe(0.90), NatGrC3(0.10)",A,B2,N/A,Turkey oak (Quercus Cerris L.) coppice forest,https://fluxnet.org/sites/siteinfo/IT-ro2,"fluxnet2007, fluxnet2015",2002-2006,2002-2012,2002-2008,N/A,N/A,DBF,,,,
IT-SR2,San Rossore 2,43.732000,10.290900,N/A,PFT04,"PFT4(0.85), PFT6(0.05), PFT10(0.10)",TrNeEv,"TrNeEv(0.85), NatGrC3(0.10), TrBrDe(0.05)",A,A2,N/A,N/A,https://fluxnet.org/doi/FLUXNET2015/IT-SR2 & https://meta.icos-cp.eu/resources/stations/ES_IT-SR2,"fluxnet2015, warmwinter2020",N/A,2013-2014,2013-2014,N/A,2013-2020,ENF,,,,
